country,country_name
Korea, Republic of,Korea, Rep.              # South Korea
Korea, Dem. People's Rep.,Korea, Dem. People's Rep.  # North Korea
United States,United States of America
Russia,Russian Federation
Iran,Iran, Islamic Rep.
Vietnam,Viet Nam
Egypt,Egypt, Arab Rep.
